name,latitude,longitude,route,direction
Gunung Anyar Timur 1,-7.3397159,112.7845361,K3L,Berangkat
Gunung Anyar Lor 1,-7.3338925,112.7812426,K3L,Berangkat
Rungkut Madya 1,-7.3310346,112.7810122,K3L,Berangkat
Pandugo 1,-7.3215391,112.7809219,K3L,Berangkat
MERR Semampir A,-7.3082862,112.7803486,K3L,Berangkat
SKG MERR A,-7.3059742,112.7807371,K3L,Berangkat
Semolowaru 1,-7.3006265,112.7816154,K3L,Berangkat
ITATS,-7.2910808,112.7804447,K3L,Berangkat
SMPN 19,-7.2887073,112.7805611,K3L,Berangkat
RS Haji 1,-7.2842254,112.7807524,K3L,Berangkat
Kertajaya Indah,-7.2802044,112.7821441,K3L,Berangkat
ITS,-7.2795033,112.790025,K3L,Berangkat
Manyar Kerta Adi,-7.280603,112.782527,K3L,Berangkat
KONI MERR,-7.27963,112.7807104,K3L,Berangkat
Galaxy 1,-7.2765726,112.7810103,K3L,Berangkat
Unair Kampus C 1,-7.2690731,112.7822058,K3L,Berangkat
Mulyorejo 1,-7.2622645,112.7827537,K3L,Berangkat
Kalijudan 1,-7.254500,112.782401,K3L,Berangkat
RSIA 1,-7.2511785,112.7836584,K3L,Berangkat
Kenjeran,-7.2521104,112.7931757,K3L,Berangkat
Kenjeran Park,-7.2525321,112.7959248,K3L,Berangkat
Kenjeran Park,-7.2525321,112.7959248,K3L,Pulang
Superindo Kenjeran,-7.2521315,112.7919688,K3L,Pulang
RSIA 2,-7.2511012,112.7839804,K3L,Pulang
Kalijudan 2,-7.255775,112.782392,K3L,Pulang
Mulyorejo 2,-7.2639006,112.7832595,K3L,Pulang
Unair Kampus C 2,-7.2689199,112.7825487,K3L,Pulang
Galaxy 2,-7.2757722,112.7815226,K3L,Pulang
Kertajaya Indah,-7.2802044,112.7821441,K3L,Pulang
ITS,-7.2795033,112.790025,K3L,Pulang
Manyar Kerta Adi,-7.280603,112.782527,K3L,Pulang
RS Haji 2,-7.2823729,112.7810022,K3L,Pulang
Kopertis,-7.2885405,112.7808488,K3L,Pulang
UKDC,-7.2915358,112.7808099,K3L,Pulang
Semolowaru 2,-7.3017195,112.7818088,K3L,Pulang
SKG MERR B,-7.305713,112.781127,K3L,Pulang
MERR Semampir B,-7.3082941,112.7806552,K3L,Pulang
DINAMIKA,-7.3119924,112.7807994,K3L,Pulang
Pandugo 2,-7.3218197,112.7812106,K3L,Pulang
Penjaringan Asri,-7.3271897,112.7816232,K3L,Pulang
Rungkut Madya 2,-7.3302525,112.7814235,K3L,Pulang
Gunung Anyar Lor 2,-7.3344542,112.7817683,K3L,Pulang
Gunung Anyar Timur 2,-7.339462,112.7847,K3L,Pulang
SMPN 28 A,-7.3069884,112.6658131,K2L,Berangkat
Villa Bukit Mas A,-7.3083676,112.6716781,K2L,Berangkat
Babatan A,-7.3067804,112.6742465,K2L,Berangkat
Unesa A,-7.2983536,112.6753385,K2L,Berangkat
Graha Famili A,-7.292504,112.675757,K2L,Berangkat
PTC A,-7.288547,112.6772795,K2L,Berangkat
Jono Soewojo 1,-7.284467,112.681405,K2L,Berangkat
Patung Kuda 1,-7.2829832,112.6860218,K2L,Berangkat
Darmo Permai,-7.2843022,112.6927148,K2L,Berangkat
Putat Gede 1,-7.2858006,112.699007,K2L,Berangkat
Taman Makam Pahlawan 1,-7.288559,112.708333,K2L,Berangkat
PNR Mayjen Sungkono A,-7.290724,112.715133,K2L,Berangkat
Darmo Park 1,-7.291394,112.717523,K2L,Berangkat
Gedung Juang,-7.2917711,112.7209032,K2L,Berangkat
Indragiri,-7.2923772,112.7289062,K2L,Berangkat
Adityawarman,-7.2931313,112.7302948,K2L,Berangkat
Kutai 1,-7.2912445,112.7346357,K2L,Berangkat
Bengawan 1,-7.2898917,112.737939,K2L,Berangkat
RS Darmo,-7.2869871,112.7393517,K2L,Berangkat
Pandegiling,-7.2778697,112.7410512,K2L,Berangkat
Basra,-7.2718007,112.7416187,K2L,Berangkat
Kaliasin,-7.264731,112.7409658,K2L,Berangkat
Simpang Dukuh,-7.2629472,112.7417455,K2L,Berangkat
Gubernur Suryo,-7.2638268,112.744101,K2L,Berangkat
Balaikota,-7.2606017,112.7473495,K2L,Berangkat
Grand City,-7.2628288,112.7503119,K2L,Berangkat
Moestopo,-7.2643822,112.754188,K2L,Berangkat
RSUD Dr. Soetomo,-7.2692346,112.7565799,K2L,Berangkat
Unair B,-7.2735909,112.7564166,K2L,Berangkat
Kertajaya 1,-7.2790714,112.7594702,K2L,Berangkat
Samsat Manyar,-7.2794411,112.7639061,K2L,Berangkat
KONI,-7.2803139,112.7769563,K2L,Berangkat
Kertajaya Indah,-7.2802044,112.7821441,K2L,Berangkat
ITS,-7.2795033,112.790025,K2L,Berangkat
PENS 1,-7.2758186,112.7931046,K2L,Berangkat
Kejawan Putih Tambak,-7.2765979,112.8022741,K2L,Berangkat
Kejawan Putih Tambak,-7.2765979,112.8022741,K2L,Pulang
PENS 2,-7.2755873,112.793166,K2L,Pulang
ITS,-7.2795033,112.790025,K2L,Pulang
Manyar Kerta Adi,-7.280603,112.782527,K2L,Pulang
Klampis,-7.2806915,112.7757632,K2L,Pulang
Gramedia Manyar,-7.2797031,112.7635235,K2L,Pulang
Kertajaya 2,-7.2786678,112.7590408,K2L,Pulang
Gubeng Airlangga,-7.2737848,112.7562227,K2L,Pulang
Lapangan Hoki,-7.2675954,112.7564228,K2L,Pulang
SMAN 4,-7.2653888,112.755382,K2L,Pulang
Pemuda,-7.2652576,112.747537,K2L,Pulang
Pangsud,-7.2663587,112.7450297,K2L,Pulang
Sonokembang 2,-7.2713169,112.743161,K2L,Pulang
Santa Maria,-7.2834786,112.7402998,K2L,Pulang
Bengawan 2,-7.2896797,112.7380001,K2L,Pulang
Kutai 2,-7.2911186,112.7345502,K2L,Pulang
KPU,-7.2925892,112.7287984,K2L,Pulang
Mayjen Sungkono,-7.292023,112.720999,K2L,Pulang
Darmo Park 2,-7.291673,112.717463,K2L,Pulang
Taman Makam Pahlawan 2,-7.288884,112.708372,K2L,Pulang
Putat Gede 2,-7.2858511,112.6980308,K2L,Pulang
Pradah Kali Kendal,-7.2844204,112.692294,K2L,Pulang
Patung Kuda 2,-7.2817833,112.6852932,K2L,Pulang
Jono Soewojo 2,-7.2849949,112.6813596,K2L,Pulang
PTC B,-7.288839,112.677656,K2L,Pulang
Graha Famili B,-7.292625,112.676105,K2L,Pulang
Unesa B,-7.2983115,112.6756939,K2L,Pulang
Babatan B,-7.3067834,112.6743163,K2L,Pulang
Villa Bukit Mas B,-7.3083001,112.6716886,K2L,Pulang
SMPN 28 B,-7.306914,112.6658329,K2L,Pulang
SPBU Lidah Wetan,-7.3066048,112.6637573,K2L,Pulang
Terminal Purabaya,-7.351132,112.729025,R1R2,Berangkat
Dukuh Menanggal,-7.3432891,112.728933,R1R2,Berangkat
Taman Pelangi,-7.3291701,112.73082,R1R2,Berangkat
RS Bhayangkara,-7.3249436,112.7317763,R1R2,Berangkat
UBHARA,-7.3213209,112.7325409,R1R2,Berangkat
Pusvetma,-7.3164554,112.7335441,R1R2,Berangkat
Ketintang,-7.3092723,112.7350654,R1R2,Berangkat
Terminal Intermoda Joyoboyo,-7.2989511,112.7362394,R1R2,Berangkat
Museum BI,-7.2943985,112.739021,R1R2,Berangkat
RS Darmo,-7.2869871,112.7393517,R1R2,Berangkat
Gozco,-7.2838208,112.7399403,R1R2,Berangkat
Pandegiling,-7.2778697,112.7410512,R1R2,Berangkat
Urip Sumoharjo 1,-7.2740239,112.7419307,R1R2,Berangkat
Basra,-7.2718007,112.7416187,R1R2,Berangkat
Kaliasin,-7.264731,112.7409658,R1R2,Berangkat
Embong Malang 1,-7.260373,112.7374193,R1R2,Berangkat
Blauran,-7.2552015,112.7340732,R1R2,Berangkat
Pirngadi,-7.2523079,112.7350273,R1R2,Berangkat
Pasar Turi,-7.2459292,112.7370262,R1R2,Berangkat
Masjid Kemayoran,-7.2434526,112.7352334,R1R2,Berangkat
Indrapura,-7.2406577,112.7319004,R1R2,Berangkat
Rajawali,-7.2345788,112.7321174,R1R2,Berangkat
Rajawali,-7.2345788,112.7321174,R1R2,Pulang
Jembatan Merah,-7.2356908,112.7354869,R1R2,Pulang
Veteran,-7.2391615,112.7374868,R1R2,Pulang
Tugu Pahlawan,-7.244176,112.738376,R1R2,Pulang
Alun-alun Contong,-7.2517544,112.7367918,R1R2,Pulang
Siola,-7.2571601,112.7377436,R1R2,Pulang
Tunjungan,-7.2598045,112.7392244,R1R2,Pulang
Simpang Dukuh,-7.2629472,112.7417455,R1R2,Pulang
Gubernur Suryo,-7.2638268,112.744101,R1R2,Pulang
Pangsud,-7.2663587,112.7450297,R1R2,Pulang
Sonokembang 2,-7.2713169,112.743161,R1R2,Pulang
Urip Sumoharjo 2,-7.2740799,112.742127,R1R2,Pulang
Santa Maria,-7.2834786,112.7402998,R1R2,Pulang
Darmo,-7.2891268,112.7392729,R1R2,Pulang
Marmoyo,-7.296246,112.7394561,R1R2,Pulang
Joyoboyo 2,-7.2987484,112.7378508,R1R2,Pulang
RSAL,-7.3081871,112.7360531,R1R2,Pulang
Margorejo,-7.3133951,112.734927,R1R2,Pulang
Wonocolo,-7.3181133,112.7339504,R1R2,Pulang
UINSA,-7.3217924,112.733166,R1R2,Pulang
Jemur Ngawinan,-7.328595,112.7317107,R1R2,Pulang
Siwalankerto,-7.3365913,112.7291453,R1R2,Pulang
Kertomenanggal,-7.3432811,112.7294272,R1R2,Pulang
Terminal Purabaya,-7.351132,112.729025,R1R2,Pulang
